"fidelity","max_success_probability"
0.014878548148543044,0.12375614124063718
0.02102899081301377,0.12375614124063718
0.027179433477484492,0.12375614124063718
0.03332987614195522,0.12375614124063718
0.03948031880642594,0.12375614124063718
0.04563076147089667,0.12375614124063718
0.051781204135367395,0.12375614124063718
0.057931646799838116,0.12375614124063718
0.06408208946430885,0.12375614124063718
0.07023253212877957,0.12375614124063718
0.07638297479325029,0.12375614124063718
0.08253341745772101,0.12375614124063718
0.08868386012219175,0.12375614124063718
0.09483430278666247,0.12375614124063718
0.10098474545113319,0.12375614124063718
0.10713518811560392,0.12375614124063718
0.11328563078007464,0.12375614124063718
0.11943607344454536,0.12375614124063718
0.1255865161090161,0.12375614124063718
0.13173695877348682,0.12375614124063718
0.13788740143795752,0.12375614124063718
0.14403784410242826,0.12375614124063718
0.150188286766899,0.12375614124063718
0.15633872943136973,0.12375614124063718
0.16248917209584046,0.12375614124063718
0.16863961476031114,0.12375614124063718
0.17479005742478188,0.12375614124063718
0.1809405000892526,0.12375614124063718
0.18709094275372334,0.12375614124063718
0.19324138541819408,0.12375614124063718
0.1993918280826648,0.12375614124063718
0.2055422707471355,0.12375614124063718
0.21169271341160623,0.12375614124063718
0.21784315607607696,0.12375614124063718
0.2239935987405477,0.12375614124063718
0.23014404140501843,0.12375614124063718
0.23629448406948916,0.12375614124063718
0.24244492673395984,0.12375614124063718
0.24859536939843058,0.12375614124063718
0.2547458120629013,0.12375614124063718
0.26089625472737205,0.12375614124063718
0.2670466973918428,0.12375614124063718
0.2731971400563135,0.12375614124063718
0.27934758272078425,0.12375614124063718
0.2854980253852549,0.12375614124063718
0.29164846804972566,0.12375614124063718
0.2977989107141964,0.12375614124063718
0.30394935337866713,0.12375614124063718
0.31009979604313787,0.12375614124063718
0.3162502387076086,0.12375614124063718
0.3224006813720793,0.12375614124063718
0.32855112403655,0.12318046480310256
0.33470156670102075,0.12249695874856015
0.3408520093654915,0.1218941286260526
0.3470024520299622,0.12125067780679377
0.35315289469443295,0.12062708913347119
0.35930333735890363,0.12002263189995882
0.36545378002337436,0.11943660380797953
0.3716042226878451,0.11886832994101182
0.37775466535231583,0.11826788206056978
0.38390510801678657,0.11773466486212456
0.3900555506812573,0.11721727842380146
0.396205993345728,0.11667023918834184
0.4023564360101987,0.11614064540147621
0.40850687867466945,0.11562781475988054
0.4146573213391402,0.11517188794790457
0.4208077640036109,0.11464986019539866
0.4269582066680816,0.11418351459800166
0.43310864933255233,0.11373148652126645
0.43925909199702307,0.11325731345190407
0.4454095346614938,0.11279864018042776
0.45155997732596453,0.11238846023885386
0.45771041999043527,0.11192529798410321
0.46386086265490595,0.11150945535483972
0.4700113053193767,0.11107631566566778
0.4761617479838474,0.11068720429581323
0.48231219064831815,0.11025323457555204
0.4884626333127889,0.10986209773318936
0.4946130759772596,0.10945727566865804
0.5007635186417303,0.10906657089323617
0.506913961306201,0.10868937686739323
0.5130644039706718,0.10830128360893215
0.5192148466351425,0.10792725591239763
0.5253652892996132,0.10754457420834483
0.531515731964084,0.10717638121629693
0.5376661746285547,0.10680159935988069
0.5438166172930254,0.10642202927614694
0.5499670599574962,0.10605814767847979
0.5561175026219668,0.1056912533070098
0.5622679452864375,0.10532297065997108
0.5684183879509083,0.1049712159092435
0.574568830615379,0.10460398892340222
0.5807192732798497,0.1042251227218127
0.5868697159443205,0.10385234895278832
0.5930201586087912,0.1034738208927343
0.5991706012732619,0.10308092007795272
0.6053210439377327,0.10266845191485577
0.6114714866022034,0.1022453172090343
0.6176219292666741,0.10178301924321495
0.6237723719311448,0.10123869682018304
0.6299228145956155,0.10022249444371761
